route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
088-164,1609-Liberty-Weekday-31,9794-1387554,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071C-172,0880071
086-164,1609-Liberty-Weekday-31,9795-1387626,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -318,0860053
088-164,1609-Liberty-Weekday-31,9796-1387262,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,077 -256,0880071
086-164,1609-Liberty-Weekday-31,9797-1387548,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -319,0860053
088-164,1609-Liberty-Weekday-31,9798-1387562,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,082 -290,0880071
086-164,1609-Liberty-Weekday-31,9799-1387434,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,068 -057,0860053
088-164,1609-Liberty-Weekday-31,9800-1387314,Outbound-PENN BAKERY SQUARE VIA STRIP DISTRICT,0,088 -363,0880059
086-164,1609-Liberty-Weekday-31,9801-1387546,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071C-174,0860053
088-164,1609-Liberty-Weekday-31,9802-1387512,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,082 -291,0880071
086-164,1609-Liberty-Weekday-31,9803-1387446,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071C-175,0860053
088-164,1609-Liberty-Weekday-31,9804-1387314,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -363,0880071
086-164,1609-Liberty-Weekday-31,9805-1387561,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071D-213,0860053
088-164,1609-Liberty-Weekday-31,9806-1387334,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,082 -293,0880071
086-164,1609-Liberty-Weekday-31,9807-1387589,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -320,0860053
086-164,1609-Liberty-Weekday-31,9808-1387511,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -321,0860053
P12-164,1609-Liberty-Weekday-31,9828-1387126,Outbound-HOLIDAY PARK FLYER VIA BEACON HILL,0,P12 -409,P120041
P67-164,1609-Liberty-Weekday-31,9831-1387161,Outbound-MONROEVILLE FLYER,0,P67 -442,P670056
P12-164,1609-Liberty-Weekday-31,9832-1387125,Outbound-HOLIDAY PARK FLYER VIA BEACON HILL,0,P12 -410,P120041
P67-164,1609-Liberty-Weekday-31,9835-1387160,Outbound-MONROEVILLE FLYER,0,P67 -443,P670056
P12-164,1609-Liberty-Weekday-31,9836-1387124,Outbound-HOLIDAY PARK FLYER VIA BEACON HILL,0,P12 -411,P120041
P68-164,1609-Liberty-Weekday-31,9870-1387388,Inbound-BRADDOCK HILLS FLYER TO MONROEVILLE MALL,1,P68 -449,P680064
P68-164,1609-Liberty-Weekday-31,9871-1387215,Inbound-BRADDOCK HILLS FLYER TO MONROEVILLE MALL,1,P68 -452,P680064
P12-164,1609-Liberty-Weekday-31,9872-1387120,Outbound-HOLIDAY PARK FLYER,0,P12 -413,P120055
P17-164,1609-Liberty-Weekday-31,9873-1387641,Outbound-LINCOLN PARK FLYER LINKED TO 79 EAST HILLS,0,071D-200,P170049
P16-164,1609-Liberty-Weekday-31,9874-1387263,Outbound-PENN HILLS-LEECHBURG FLYER TO UNITY-CENTER,0,P16 -425,P160151
P68-164,1609-Liberty-Weekday-31,9875-1387382,Inbound-BRADDOCK HILLS FLYER TO MONROEVILLE MALL,1,P68 -453,P680064
P12-164,1609-Liberty-Weekday-31,9876-1387119,Outbound-HOLIDAY PARK FLYER,0,P12 -414,P120055
P67-164,1609-Liberty-Weekday-31,9877-1387293,Outbound-MONROEVILLE FLYER,0,P67 -446,P670059
P78-164,1609-Liberty-Weekday-31,9878-1387349,Inbound-OAKMONT FLYER VIA LAKETON ROAD,1,P78 -473,P780065
P16-164,1609-Liberty-Weekday-31,9879-1387127,Outbound-PENN HILLS-UNIVERSAL FLYER TO CENTER,0,P16 -426,P160153
P17-164,1609-Liberty-Weekday-31,9880-1387345,Outbound-LINCOLN PARK FLYER LINKED TO 79 EAST HILLS,0,P16 -427,P170049
P71-164,1609-Liberty-Weekday-31,9881-1387290,Inbound-SWISSVALE FLYER VIA REGENT SQ-SWISSHELM PARK,1,P71 -462,P710062
P12-164,1609-Liberty-Weekday-31,9882-1387118,Outbound-HOLIDAY PARK FLYER,0,P12 -415,P120055
P16-164,1609-Liberty-Weekday-31,9883-1387238,Outbound-PENN HILLS-LEECHBURG FLYER TO UNITY-CENTER,0,P16 -428,P160151
P67-164,1609-Liberty-Weekday-31,9884-1387286,Outbound-MONROEVILLE FLYER,0,P67 -445,P670059
P12-164,1609-Liberty-Weekday-31,9885-1387622,Outbound-HOLIDAY PARK FLYER,0,071D-201,P120055
P69-164,1609-Liberty-Weekday-31,9886-1387257,Inbound-TRAFFORD FLYER,1,077 -253,P690064
P78-164,1609-Liberty-Weekday-31,9887-1387179,Inbound-OAKMONT FLYER VIA LAKETON ROAD,1,P78 -474,P780065
P16-164,1609-Liberty-Weekday-31,9888-1387219,Outbound-PENN HILLS-LEECHBURG FLYER TO UNITY-CENTER,0,P16 -429,P160151
P12-164,1609-Liberty-Weekday-31,9889-1387116,Outbound-HOLIDAY PARK FLYER,0,P12 -416,P120055
P17-164,1609-Liberty-Weekday-31,9890-1387352,Outbound-LINCOLN PARK FLYER LINKED TO 79 EAST HILLS,0,086 -310,P170049
P71-164,1609-Liberty-Weekday-31,9891-1387270,Inbound-SWISSVALE FLYER VIA REGENT SQ-SWISSHELM PARK,1,P71 -461,P710062
P68-164,1609-Liberty-Weekday-31,9892-1387288,Inbound-BRADDOCK HILLS FLYER TO MONROEVILLE MALL,1,P68 -454,P680064
P67-164,1609-Liberty-Weekday-31,9893-1387274,Outbound-MONROEVILLE FLYER,0,071C-165,P670059
P12-164,1609-Liberty-Weekday-31,9894-1387115,Outbound-HOLIDAY PARK FLYER,0,071D-208,P120055
P16-164,1609-Liberty-Weekday-31,9895-1387273,Outbound-PENN HILLS-UNIVERSAL FLYER TO HULTON ARBORS & HARMAR,0,P16 -430,P160154
P12-164,1609-Liberty-Weekday-31,9896-1387475,Outbound-HOLIDAY PARK FLYER,0,082 -281,P120055
P16-164,1609-Liberty-Weekday-31,9897-1387304,Outbound-PENN HILLS-LEECHBURG FLYER TO UNITY-CENTER,0,088 -355,P160151
P69-164,1609-Liberty-Weekday-31,9898-1387319,Inbound-TRAFFORD FLYER,1,071C-166,P690064
P71-164,1609-Liberty-Weekday-31,9899-1387291,Inbound-SWISSVALE FLYER VIA REGENT SQ-SWISSHELM PARK,1,071D-209,P710062
P67-164,1609-Liberty-Weekday-31,9900-1387580,Outbound-MONROEVILLE FLYER,0,087 -338,P670059
P16-164,1609-Liberty-Weekday-31,9901-1387469,Outbound-PENN HILLS-LEECHBURG FLYER TO UNITY-CENTER,0,071C-154,P160151
P12-164,1609-Liberty-Weekday-31,9902-1387113,Outbound-HOLIDAY PARK FLYER,0,P12 -417,P120055
P17-164,1609-Liberty-Weekday-31,9903-1387356,Outbound-LINCOLN PARK FLYER LINKED TO 79 EAST HILLS,0,086 -312,P170049
P12-164,1609-Liberty-Weekday-31,9904-1387213,Outbound-HOLIDAY PARK FLYER,0,P12 -418,P120055
P16-164,1609-Liberty-Weekday-31,9905-1387315,Outbound-PENN HILLS-LEECHBURG FLYER TO UNITY-CENTER,0,P16 -431,P160151
P78-164,1609-Liberty-Weekday-31,9906-1387528,Inbound-OAKMONT FLYER VIA LAKETON ROAD,1,088 -356,P780065
P12-164,1609-Liberty-Weekday-31,9907-1387120,Outbound-HOLIDAY PARK FLYER,0,P12 -413,P120055
P16-164,1609-Liberty-Weekday-31,9908-1387618,Outbound-PENN HILLS-UNIVERSAL FLYER TO CENTER,0,082 -283,P160153
P71-164,1609-Liberty-Weekday-31,9909-1387289,Inbound-SWISSVALE FLYER VIA REGENT SQ-SWISSHELM PARK,1,P71 -463,P710062
P67-164,1609-Liberty-Weekday-31,9910-1387455,Outbound-MONROEVILLE FLYER,0,071D-203,P670059
P78-164,1609-Liberty-Weekday-31,9911-1387242,Inbound-OAKMONT FLYER VIA LAKETON ROAD,1,071C-170,P780065
P16-164,1609-Liberty-Weekday-31,9912-1387263,Outbound-PENN HILLS-LEECHBURG FLYER TO HULTON ARBORS & HARMAR,0,P16 -425,P160152
P12-164,1609-Liberty-Weekday-31,9913-1387292,Outbound-HOLIDAY PARK FLYER,0,P12 -419,P120055
P69-164,1609-Liberty-Weekday-31,9914-1387317,Inbound-TRAFFORD FLYER,1,069 -067,P690064
